depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,GSN,OLIG2,ANXA6,NOTCH3,ERBB2,TP53,CDKN2A,ACTN4,MMP1,CLDN1,STAT3,EGFR,CD44,IDH2,RHOA,PGR,EPCAM,CDC42,NF1,VEGFD,PFN1,MMP2,CFL1,CEACAM5,SMAD4,CLDN7,ANXA2,BRCA1,VIM,VEGFC,ESR1,FSCN1,YAP1,BMI1,MMP9,MYH9,BRCA2,IDH1,LGALS1,CDH1,CD24,BCAR3,ALDH2,FLT4,ECM1,NANOG,PTEN,RAC1,PROM1,LGR5,S100A4,SOX2,EZR,TAGLN,MKI67,POU5F1,MTDH
ACH-002680,170MGBA,CNS/Brain,Diffuse Glioma,Glioblastoma,,,7.3780950208,0.0437595246,6.8964356149,4.5571427285,3.740519488,6.0838645249,0.2183052068,7.8554289145,1.0170434559,1.803051422,5.632142392,9.2404463622,9.4033877129,4.9488903303,8.7780961023,0.0030895255,0.8749800543,8.2417465305,3.6849106674,0.129752404,9.9387761825,9.0854287048,9.7685816624,0.1781286556,5.9046417336,0.7531452718,11.5764692135,3.133788902,10.8778838762,6.3231434689,0.299727525,7.4210771013,5.9049927492,4.8789635225,0.3332083087,8.1469890068,1.7294478816,7.6120250559,11.5619682396,1.4131457589,6.1218801095,5.2520867638,2.5756524024,0.0525991958,6.744732623,0.06376765,4.2469435321,8.3216606554,-0.0153546952,0.6914652438,8.6934189702,0.4226942692,6.2559252393,5.72545658,4.1071353454,0.3159915822,6.7104332173
ACH-002401,21MT2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,5.9861084329,-0.0110509304,0.8439604304,5.4779165226,9.6827705455,4.1396900509,5.9485413003,7.5272802705,3.6517176438,6.9515506585,5.8290646643,6.6469960597,9.6638324486,6.1335236955,8.0599800647,0.0190894488,8.4166918709,7.4024881413,5.1280664635,0.1068935544,9.6881110617,1.7367265482,9.9583830568,3.6682904468,4.6228992831,9.0420087407,11.4847096343,3.0450074904,6.0604594816,4.4421995554,3.3134207684,7.7575103221,6.0365989151,4.6283087449,5.7063417162,6.6369977912,2.2181187477,6.6336162826,8.6352838713,8.2190081499,9.5191260466,4.7659314365,6.3113876451,0.1311197098,1.6949475094,-0.0083056744,4.8825778713,7.8719876323,0.9483367688,0.0671259942,2.9310492054,0.4226942692,7.2943880934,1.7726395824,3.8211838033,0.3159915822,6.1295572142
ACH-002399,21NT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,6.1487429332,-0.0110509304,0.5409878521,4.3955508932,10.3769288084,4.3500603537,6.0385834529,7.6585009039,2.2600783022,6.5493995992,5.8354098557,5.5185210782,8.8474900978,6.9777893374,8.5015678627,0.0030895255,9.8702347846,8.2466801406,4.2816030785,0.0717675349,10.302962576,5.9084303079,10.6367923771,0.698250857,4.6164791078,9.215313816,11.7308796953,3.8611118524,6.9155989648,4.1630051574,2.9618008014,7.64676537,6.1241695362,5.1343530301,0.439248864,7.804044983,2.0973073843,7.2869370381,11.1460486135,8.712443112,11.8318782454,5.3174272087,3.0934097933,0.0525991958,1.3078069284,-0.0083056744,4.7370769004,8.4390745681,1.8672322819,0.111055472,5.1152935367,0.1080206423,8.2879698545,1.1272661802,5.0999740162,0.3159915822,5.8906480267
ACH-001999,9505BIK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,,7.5446554337,-0.0110509304,2.2971660834,0.3622120943,6.0316280422,4.3118825074,10.0946246225,9.0117624726,5.9530898649,6.5513637682,5.4222404645,5.4624242006,6.4092032669,4.9061180807,8.3534063275,0.0030895255,9.4666145742,7.2153018338,3.6561971547,0.0717675349,10.1707019017,-0.1965109124,10.010272147,7.6573246483,2.4973743053,8.8468969,10.8285517273,2.3592976795,1.0021404431,1.0326640513,0.067801992,6.4482863512,5.0928623636,5.607037147,0.0336433545,7.0799636858,1.591147717,6.4132932756,8.2445062041,7.2515326223,6.4624805535,4.9811246473,5.2817907278,0.0364293262,6.2216329268,-0.0083056744,4.911776523,8.2866331445,4.9671698074,1.6506433472,10.6009884213,0.3376920766,9.0274744264,2.3867290044,3.8607175526,1.1311155418,5.3967279577
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,,,4.7895682769,0.6543521843,7.2029129243,0.5312291012,4.9219546415,5.6139889774,0.0098491248,8.9593675693,9.4926570186,2.6687141915,5.0760133593,6.0039627257,8.9101854988,5.315579729,9.16047889,-0.0029912554,0.2392378171,8.2719699567,4.6333196932,-0.0509802733,10.7424226949,5.8807940681,10.3619441406,-0.034956324,4.4941338579,2.1921921163,12.9866935839,4.9785771524,12.2319124077,4.7557808426,0.2458197337,6.2761978891,6.0920606306,4.7053279041,-0.0234970528,7.6428662069,2.7915740598,6.6323690999,11.76871329,-0.1348384549,0.7219298586,6.2103769469,1.0226652216,-0.0125188352,5.4114492689,-0.0346086072,4.0065215369,8.2324545357,0.0211900282,-0.012245121,1.6623471998,0.0220989489,7.6683435922,1.2182663119,5.4903239802,0.0743449009,5.6141876767
ACH-000248,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,HER2+,,5.2094162385,0.0220063236,7.4555673472,5.0126118137,11.0046824095,4.8979801727,4.6627293915,7.1579060946,0.385638394,1.796553034,7.2961738545,4.7872368007,4.0959528922,7.306284533,8.4561569523,-0.0029912554,7.0332319931,7.0858640271,3.649049161,0.0326379172,10.0903647209,0.6346652199,9.987724177,0.7138604072,1.3807066886,7.8653713028,7.4804553734,2.5234664548,2.368465829,1.2225515521,0.2986114109,1.2921218176,5.7645232563,4.6195946916,1.0462994748,6.7631119839,1.8308245824,7.4723068587,7.5522228177,-0.1738167156,9.4468577143,4.4684133308,7.7676114397,0.0007649863,1.0905479862,-0.0346086072,3.6577791806,8.4590707403,3.0366869144,-0.012245121,7.3489974392,-0.0323633246,7.6904292194,2.0891683979,5.3789193958,-0.1444841639,5.9476743154
ACH-002921,BCK4,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,,,4.2605297684,-0.0110509304,7.8448437664,6.0592362987,8.6876226516,6.1829827208,1.376760902,8.0636390296,0.2873522057,0.2096131104,7.5795011589,0.2544673456,9.3708458455,7.0280637285,8.86423508,6.7441028886,8.2888321743,6.624487842,4.880954611,0.129752404,10.512128507,-0.2226583843,10.5637980002,4.8133315002,4.9904043109,8.0829308283,7.8404344573,5.1938949466,0.1514541099,-0.0824870013,7.3313706287,0.2934686899,3.947931147,6.89610294,0.6213233326,7.479234811,3.1021403905,6.5739450135,10.0605626056,3.2549158668,5.939391543,4.9385240126,3.7955298203,1.7833711361,4.1094928773,-0.0083056744,5.1987145484,7.7959531017,0.0854052111,0.0371158874,3.8418879002,1.1509524587,7.928749846,2.0372141065,5.2601256375,0.3413484523,6.3870146558
ACH-001016,BECKER,CNS/Brain,Diffuse Glioma,Astrocytoma,,,4.0439704645,0.5648671408,3.7602291237,1.047728039,3.045653436,6.5733348748,0.8720765468,7.4553046302,5.3908761238,5.3272765708,4.2847574896,5.6996164571,8.9246463667,4.0194879115,8.2459094355,0.0030895255,0.953396391,7.9881909543,4.7413222803,0.4376162813,9.885893486,7.1587595803,10.2043160195,0.1781286556,5.6521137705,0.7164235861,11.0444419221,3.6470584088,9.8968870378,5.1577896914,0.067801992,6.2156206584,5.873215922,5.7580865096,0.0336433545,7.6956749481,2.7895815435,8.1008634104,12.2733394909,0.4921062698,6.6191311429,5.2041561473,2.8424864759,0.0364293262,3.4242354907,0.0010127211,2.4246809337,7.9578090337,-0.0153546952,0.1396499217,5.1323111934,0.1225763887,6.6195665961,2.7724633899,5.3458620037,0.3159915822,6.5340570437
ACH-000160,BT12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,5.9367727875,0.007315726,7.8789032396,0.1677757002,3.8731932264,4.3989632459,2.267221339,6.6979963511,-0.0265800682,3.7447153834,5.98640185,3.6548082618,8.8588306838,4.5992063471,8.171302608,-0.0029912554,0.0120054225,6.5922675582,4.3536586592,0.1124013375,9.5230117604,0.6117522605,9.3299759586,-0.0887901104,3.6500385075,-0.2546596107,9.473675115,3.813310762,8.976262984,0.0664398169,-0.0414519478,3.6007929435,4.5375927714,3.399758395,0.1639831874,5.239823098,2.2700420766,5.6525489982,9.2535821993,-0.2274906707,0.308398432,5.9215593272,2.1466927903,2.2352893857,1.5983179575,0.0241671899,6.0346759165,6.5263168959,0.0071271097,-0.012245121,12.7124485754,-0.0185519923,6.8845605088,6.8578497888,4.7598369954,-0.1740718732,4.8420495992
ACH-001020,BT16,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,5.9706063919,-0.0110509304,5.7567359691,6.2297967431,6.7508862654,5.4917814768,5.9110998934,7.3026867332,0.2062021356,0.7276196455,5.6182128617,0.5565730728,8.1018980052,6.0361434545,9.0929622469,0.0030895255,0.8883529569,7.6927633787,3.72389907,0.1850641903,10.8355079842,0.1740972522,10.4223362187,0.1781286556,4.9969892333,0.7287704367,10.7132426269,4.5987994309,10.8826498783,-0.0824870013,0.067801992,6.8508674089,5.9360965861,3.8577029228,0.0336433545,6.8855915447,3.2795908839,6.4057294226,11.6107279206,1.189106718,1.92687644,2.4405772515,0.1852122234,4.0718372737,0.1972730395,-0.0083056744,4.2174649732,7.5074611487,-0.0153546952,0.0521952245,12.3767627884,7.2250672319,7.9072638482,5.9445786874,5.9522186951,0.3538410402,6.5649362995
ACH-000536,BT20,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Basal A TNBC,,6.0618167504,0.7012257363,2.4899498242,4.5765228551,5.8418342456,6.8633363042,0.1718649695,8.7854997024,0.3010255409,3.7110199232,6.0505486797,7.5860775318,8.5304500968,7.0829501616,8.4420508151,-0.0029912554,7.206713208,7.5106899398,4.4023647911,-0.0003261245,10.8398246783,0.6346652199,9.9831941363,0.1732135443,3.7466761186,7.2143073609,11.0849505775,4.0473207548,3.0767195031,0.0805049448,1.8297656027,2.4941988915,6.2184853894,6.0078868209,0.0030666974,7.9875049147,3.9775688319,8.9055528856,10.8581174683,7.8904481768,9.9734022113,4.7775850928,0.176491269,0.1857528436,1.5219135633,0.0823639056,3.7782369945,8.0755324285,0.0760828168,0.0151792774,2.9173234942,0.1251678508,6.9827701307,3.9335845209,5.0302950893,1.8295874731,5.6513160969
ACH-000927,BT474,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,"ER+, PR+, HER2+",,7.35442619,0.0652209075,7.1141334257,4.505420168,9.9825830724,6.0894462463,2.5883707038,7.0842199428,0.1761734898,0.1031182836,4.5311039341,1.3554878374,3.4531067291,7.6084139961,7.9590157406,5.4121012212,6.9131008398,7.6383850476,3.9341470142,0.1585523355,9.4516306157,0.6459947163,10.7450710385,1.8885691031,4.9380287361,6.441935132,8.6298801018,3.6263365025,4.8897432501,1.302052975,3.8914180558,3.0153140398,6.4902488183,5.0894304882,0.0291146138,6.7823088449,2.0532157144,7.0637717686,2.0609628968,7.4541401354,9.8275022495,3.8618325562,7.3146415459,0.6574058046,1.5275014548,0.0241671899,4.9952396008,8.2293176903,0.798038619,0.0553332172,5.1968338707,1.1097666423,6.5086279,2.223331948,3.3605527699,0.1370074673,5.8292669396
ACH-000818,BT483,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,"luminal ER+, PR+, HER2+",,7.2271180639,0.0365521839,8.1524997385,5.4106865912,7.7516685679,4.5231730319,2.5008507073,7.7609525456,1.1843831506,1.0578764802,5.9010036414,1.0555567496,3.7950229062,8.6949235278,8.1217150146,0.6507586293,7.0430125493,7.2747531228,4.8145658436,0.0967400553,9.2555381372,0.5529274475,9.9292688458,1.672277524,4.3575979023,7.0589831862,8.3469384717,3.5832510099,2.3163711666,1.0346150147,4.686567361,2.6449111997,4.3763385009,7.4471765805,0.2210737415,6.6007287671,1.4334312442,4.9857333195,8.6380475423,8.1998881494,8.6430416691,3.5927256178,6.2952400227,0.8465525084,1.2925691912,0.0241671899,4.4206629477,8.1245205993,1.410901406,0.0151792774,3.1787561947,0.0745621496,6.5197285562,2.286073808,3.903889723,0.1246700265,6.5584117879
ACH-000288,BT549,Breast,Invasive Breast Carcinoma,"Breast Invasive Carcinoma, NOS",Basal B TNBC,,5.2712233814,0.007315726,6.9424752111,3.5566717865,3.9899366654,7.0448728893,8.4041645209,8.0460135121,3.0718953393,5.8481413461,6.5995045474,5.3055270899,9.783661911,5.5417036264,9.087432684,0.0501578883,0.3985087856,7.8991810525,3.3267926952,-0.0509802733,11.1580933346,5.4929119142,10.8031485678,0.0912106666,4.7272390214,0.6555590656,11.0054675761,4.4910590324,11.1047642932,3.1842235968,-0.0281637234,5.0201195619,5.8673219013,6.2393191098,0.0921039106,8.4930959508,3.2127758354,5.6841393756,12.5308304555,0.8146725318,6.7886986427,5.7247731266,2.9323897716,0.065289115,0.4383721363,-0.0346086072,3.5356334215,8.2766670458,0.0625582003,0.0684657034,4.9606248648,-0.004872828,6.4370967109,8.1848632582,5.1379773699,1.5960330447,6.9534310853
ACH-000212,CAL120,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal B TNBC,,6.5958399439,0.007315726,5.9140988713,0.6419818203,4.4108043257,3.8080596336,7.2480878505,7.8311420048,0.2568335451,5.2478978675,5.4578139402,5.1363113162,7.4449111071,4.5981176513,9.2900673488,0.0238438682,2.253298962,8.2150928285,4.1738896642,0.0967400553,10.1847816845,1.0504961383,10.3224759073,0.1151344267,4.1731296117,1.4900430197,10.7388434561,3.0688611134,11.0493234317,2.6661400994,0.5778442086,3.2825919643,5.6885772388,5.7488006943,-0.0234970528,6.9089109665,1.563114879,5.6343363331,11.077052085,3.4164085274,5.647876258,5.7956199666,0.6282491345,0.2310780183,2.200026976,-0.0346086072,4.5933367857,7.4738139304,0.0211900282,0.8788766245,5.4129760854,-0.004872828,7.1575693978,3.2156198552,4.1064300128,-0.1444841639,5.4967104657
ACH-000902,CAL148,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,luminal HER2+,,2.5111992438,0.0220063236,5.4705979701,5.2364741387,7.2997436503,6.5463187663,4.7227137103,6.8495530966,0.9581869083,0.0783966726,5.2261309075,2.7071364996,1.2662734327,8.5692749778,8.6881969938,0.0370647482,7.584343079,7.580753003,3.5773607887,0.0162343834,10.3060551766,0.4018081755,10.108148249,7.0289574141,5.0860651062,7.3072259666,7.0070802089,4.0735887113,2.4405971005,1.6062646231,-0.0019774819,2.384670247,4.1576037757,6.1003490147,0.079740454,6.1011692857,1.8523942083,6.4000029685,2.226274297,6.0673207693,9.2939847915,2.8446945766,6.7940842679,0.2421751754,0.3556725729,0.0241671899,4.1972468991,7.8679847962,2.9997574307,-0.0261616488,1.6210094462,4.7388041422,6.2159722837,1.3804522489,5.5226369729,0.1370074673,5.0042965705
ACH-000856,CAL51,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Basal B TNBC,,3.5615505278,0.007315726,6.2183615004,4.6011169826,6.0534218901,6.3327528004,4.0837682672,7.9438143591,0.6400320968,4.8799559408,5.7334380724,3.477387092,6.8782967339,5.814337618,8.9891450426,-0.0029912554,8.2984651945,7.8662009165,4.7136510719,0.331752752,10.0052922275,3.3273297838,9.6233276372,0.126944673,5.6997072592,3.2054948339,9.4933399687,5.0369016618,7.1231347927,0.6310762929,0.3393918476,5.2654940131,6.4467173592,4.6305863341,0.0161538797,6.8121625151,3.6852300003,6.8121684252,8.9274604398,4.3759547866,10.1941182545,3.3913854371,5.936741499,3.331181973,1.2925691912,0.0823639056,4.7655751285,7.3403444674,3.4626067129,3.1356814647,7.2379687226,0.0353963636,7.9593330235,5.1558959838,6.4885187647,4.8132510679,5.4167594409
