,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-000330,0.9731418366,1.4160507782,0.619104564,1.0994995395,1.282101962,1.2967146135,0.6801495955,0.644423942,1.3241439789,1.0077166231,0.6976604715,-0.13488029524800002,-0.122664652957,-0.048533149270099996,-0.0680183355713,-0.21285233629,0.20158438517900001,-0.289762294676,-0.0180390390561,-0.24645646971700003,-0.0345612580799,-0.10485434430500001,6.1192954577,7.0609306818,6.953723036,9.4531069905,9.8367223347,8.3691291337,2.7847005033,6.0215115221,0.7110193889,6.821137525,3.0713529686,-0.01637908770485557,-0.0785098703974821,0.05351328199304456,-0.39487021932081967,-0.14719703382878144,-0.02007485682765458,0.28161062433947937,-0.007526778963263427,-0.26205687549010603,-0.6765136881480511,-0.0969540502509546
ACH-002499,1.5835725887,1.3914238935,0.7031644311,1.564746555,1.3092412837,2.0862152227,0.7056110211,0.9906600642,0.7235115736,1.5461743394,0.8106769339,,,,,,,,,,,,6.079397781,5.8436665226,9.5215654004,10.9807990059,10.8244102866,10.6175812247,6.9796775518,7.496175098,1.8351670225,7.7674331495,6.0777478975,-0.05742622155733115,0.007347063350118412,0.2463456416791111,-0.3156659887654354,-0.43148218390012216,0.17870399781114643,-0.305003455585462,0.04888013124205474,-0.02706068051991878,-0.5919691080318942,-0.2283909762790945
ACH-000818,1.0909666498,0.5538314936,0.5521009543,1.4293438302,0.8493693769,1.9192478075,0.8493693769,0.5754402336,1.0616365899,0.8188698072,1.1332647981,-0.327093892749,-0.266858710729,-0.37550911761100003,-0.213804091791,-0.0144692974902,0.0434603887142,-0.837310343121,0.26853323198,0.0850059387193,0.0127533984442,0.0459340323448,7.2271180639,8.1524997385,7.7609525456,9.2555381372,9.9292688458,8.3469384717,2.6449111997,6.6007287671,1.2925691912,6.5197285562,2.286073808,,,,,,,,,,,
ACH-000019,1.003622695,0.5468079032,0.5150852026,1.3281296617,1.3109357685,2.0813116406,0.5587345737,1.0089963811,1.0373192696,0.7761696894,1.2289182942,-0.014807382594700002,0.036299656616800006,0.107041594737,-0.0173606057954,0.0159184175805,-0.107156385048,-0.326613790878,0.332677398925,0.139698108594,0.00908822447222,0.0354351288152,5.3900079765,5.2400978934,7.0602419242,10.3022847966,10.5245610681,7.8463448053,3.0782730088,5.4007239727,1.2990743202,6.1498134493,1.6956513978,0.0080383504122004,0.02319674408830927,0.3546928022882724,-0.45926780339822326,-0.13966190126160277,0.13604137453062407,-0.02592518072537625,0.06929397511501632,-0.10753226989152137,-0.3554074689343019,0.025108844327707033
ACH-000910,0.9200326721,1.0010256903,1.3884305359,1.0019093616,0.9947652389,1.4038910708,1.0129486215,0.4592972339,0.9475690616,1.4649444913,1.0225142861,-0.0605423367789,0.021194078271,-0.165220337297,-0.128394266349,-0.007926804643100001,-0.0616851371765,-0.592722173301,0.33098941804299997,0.116778584076,-0.10105133771199999,0.0998726475963,2.3166025625,6.8487212372,6.6081074854,9.4592177619,10.353432457,9.7569580693,0.2050670511,6.9071092142,0.5808576502,7.2073280218,2.2780407674,0.04475466872958013,-0.04625104518844237,0.20853186086299008,-0.08872357422366883,-0.15941949265791988,-0.20654498051313658,-0.15791551163115541,-0.0748649989717785,-0.648846561328411,-0.8623566465004157,-0.04987542815980549
ACH-000721,0.8754404799,0.9202157154,0.8617534055,0.9502618394,0.9919188486,0.9963862377,0.9977525735,0.8679982265,1.5171450245,0.9054469365,1.1115169894,0.0311719188574,0.0270451604581,,,-0.0683902492538,0.18652204371300002,,,,0.0576476989007,0.313575484639,8.2096448413,0.4631627432,5.0382382735,10.1886472832,10.3281909103,11.4584693265,7.3241751336,6.0415898875,0.982383096,8.702854438,2.9744437157,0.09755809293448131,0.010295852015874456,0.25612307654990935,-0.2421995597946136,-0.21020304799655867,-0.04986255814606959,-0.12156455519047042,0.02085319346573511,-0.002082381781196019,-0.4432097572875329,-0.06551924310425303
ACH-000212,1.2278607875,0.8720997115,0.7064091817,1.011582511,1.1628185568,0.7921590339,1.37555612,0.9184397575,0.9477707221,0.7411697984,1.3931320381,0.0407227619141,0.28787173098900004,0.121843289677,0.0926545427061,-0.0675024800019,0.052111113656699994,-0.350786877338,-0.198122565589,0.302934591869,0.0313412913173,-0.149364259828,6.5958399439,5.9140988713,7.8311420048,10.1847816845,10.3224759073,10.7388434561,3.2825919643,6.9089109665,2.200026976,7.1575693978,3.2156198552,0.022596741070724156,0.0009586513992309845,0.36891021442743255,-0.09918879760116078,-0.1535094016561791,-0.058690997945489716,0.05708703943208876,0.07544177631391032,-0.4437037293036964,-0.6766154326297179,-0.15647607415756637
ACH-000374,1.0933429473,1.1815199586,1.4281742383,0.9407106874,1.1167327734,1.4545450701,0.5805555412,1.1094471927,0.8611873303,1.7162860214,1.2061530635,-0.11216209738399999,-0.208466145693,0.229672641492,0.279688748118,-0.07058160834489999,0.012495253722399999,-0.375391226031,-0.046921125664599994,-0.0499735735207,-0.0808421728094,-0.059891439692799996,6.4384070232,4.2958624109,8.664783389,9.9457179758,9.9123127709,11.369317181,6.6386664794,8.7191612142,6.6903830043,7.151942923,3.3313292866,-0.03936389934781891,-0.062111045037389935,0.139334205715854,-0.2692496927838869,-0.22742124834119265,0.0070701539929673655,-0.08011916351925337,-0.03901965771930642,-0.6102641752212784,-0.9862282095481903,0.20501146933252667
ACH-000223,1.1870304962,0.5352938564,0.7883613751,1.3734962771,1.4730781801,0.5470220905,1.6212437356,0.9627072098,1.4152103651,0.8288758877,1.5933751719,-0.374872469886,-0.236133546708,0.0585301102235,-0.105253623574,-0.305378254412,-0.45095587167400003,-0.618770553674,-0.04827346368419999,-0.128250247123,-0.010812904336,0.0121217627954,7.043333651,3.8301946007,8.0637984725,10.1678452289,10.3757344675,10.4105049842,4.3791287489,6.7094223433,1.7306811828,6.8498163348,3.24367863,0.05822695325627618,0.0006468138098380931,0.21160431801954263,-0.5337767776274025,-0.12097769601215494,0.05822379118573102,-0.14840319354983053,0.04310049104529565,-0.23534199208023532,-0.6126338603182505,0.026786448646617174
ACH-000117,1.6386502937,0.9955219286,0.6657710299,0.6723773354,0.7738039509,1.2958547336,0.757462305,0.6644170497,1.0186412178,0.9808986603,1.3324708759,-0.0667302151662,-0.0193110327452,0.206606331677,0.09897407458480001,-0.136938740352,-0.138190601176,-0.422101806264,0.010543775317299999,0.00424011954643,-0.12624775347300002,-0.246531536175,6.4632057529,7.0736831371,8.1640978962,10.028550244,9.6733310862,8.9359971073,0.9547340693,6.4941627158,1.3563895479,6.8523153875,4.5928096044,,,,,,,,,,,
ACH-001683,1.1063930507,1.1039753811,1.0172540329,1.1079924111,0.5515650698,1.5939031833,0.5711790621,0.5360189832,0.5485587329,1.1853909925,1.100850837,,,,,,,,,,,,4.5169499501,6.4273570704,6.7758801233,9.3628837857,9.3748566712,9.6562804562,1.3516021936,6.8019707106,1.6526432331,7.344197922,1.9745074123,-0.0800794980899698,0.039900659345628336,0.3534922278234697,-0.3788800507322155,-0.20814442853978427,-0.03877071039789122,0.17656351023263203,0.01011668526490325,-1.028940481586826,-0.6576142211836221,-0.012225804558766436
ACH-000759,1.0247308291,0.8391606886,1.1421633524,1.4213895522,1.1301725076,1.6950243516,0.5710614885,0.52550522,0.8651624767,1.0651716971,1.0232963395,-0.045670851315199996,-0.0637803565273,-0.14635695037000002,-0.120848037954,0.132557285842,-0.43484269986699997,-0.515190642687,0.289450069701,0.0788712143002,0.126664256953,0.0509927779769,5.6913181209,5.5853160296,7.9053248321,8.9102129254,9.6938051104,8.5157605523,0.8367605086,7.7248865634,4.7178010007,8.7623467866,1.6674189335,,,,,,,,,,,
ACH-000568,1.1175102003,1.1199776946,0.7469103526,1.6637549979,1.1527766352,3.1301309196,1.1691280895,0.7248287071,0.7710177614,1.1089151653,1.1527111155,-0.11313638900699999,-0.012569259663799999,-0.144854753383,-0.14826331126800002,0.030766446150700004,-0.31998008644299997,-0.337288808891,0.1353333249,-0.0339960262305,-0.0923879219759,0.04914318966080001,4.513414408,6.7918022731,6.6014391934,8.6582137894,9.1449723942,7.5399607841,1.0765064431,4.9466316149,3.9678507321,7.8294480135,3.6234934672,,,,,,,,,,,
ACH-000668,1.1099263895,0.7683875241,1.2285137458,1.8632677458,0.9499207089,1.620222559,0.982356784,0.6461119216,1.0289600715,0.9235973892,0.8750619128,-0.261625307883,0.0526938386304,0.0100210547204,-0.0644845785972,-0.09584743747580002,-0.18318925399500002,-0.42653272748000004,0.289853422486,-0.13572745570800002,-0.296021633281,0.196657216034,7.4440792555,2.0752415146,7.9944802152,9.9256169787,9.9377524427,10.6621883835,7.8685141779,7.9400317401,2.5824500418,7.0837014938,2.7277153853,-0.13492273145401593,-0.3623721370165828,0.09172639132430867,-0.07045830637286288,-0.16691592832146543,-0.23733317083120772,-0.28855513590995097,0.11348034260686575,-0.4949898665604827,-0.5766425068406305,-0.011121415087806591
