,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-001608,1.0509762008,1.2647120946,0.7471568274,1.1084102828,1.2572704329,2.2708792574,1.3316002071,0.8138320487,0.9120867797,0.8847801965,1.251684533,,,,,,,,,,,,3.0864771772,6.2482299238,8.2309537376,10.5404184513,10.7066252191,10.8450461328,5.7910550709,8.1382400986,4.5230866315,6.7464332784,6.4225202493,0.011188223229537027,-0.04951066874788374,0.25505098511454416,-0.23414008815076964,-0.6412558574841583,-0.0378946385117492,-0.17493686459354119,0.03938475689909338,-0.2691940609128314,-0.8973091311729147,0.04093265377480532
ACH-001201,0.5912068949,1.0222853846,1.0139489375,1.0244005978,1.0362973341,1.0366694837,1.0362973341,0.5036320497,1.0105831287,1.0141773784,1.0286919355,-0.289085872992,-0.09267251304960002,0.30173950667800004,-0.130716096546,0.00212776472384,0.13552361150999997,-0.294090789409,0.116117284857,0.025247519238,-0.0989748290208,0.068163938873,2.6190581136,5.8436665226,5.0426218592,7.7428314525,9.1521506084,6.8458965354,7.2682750651,3.5584496456,0.4171205599,6.1490648054,2.0124649043,,,,,,,,,,,
ACH-000025,0.9927531923,1.0897249196,0.7538508404,0.9859114627,1.2102239159,1.0510774645,1.2102239159,1.0905765201,1.0450898637,0.8521309165,1.1195345097,-0.324083078784,0.0609832076368,0.35653120076,0.09065404633610001,-0.118316353842,0.18578379434099998,-0.153681423534,,-0.029661546449700003,-0.111176396086,0.18105525448399998,4.9732993704,7.6130420293,7.4669309971,11.1451685448,10.326706986,10.8538566552,5.3940980467,7.5768342885,2.7046917433,6.036560894,2.7952861575,0.09748839335983542,-0.016368053286964505,0.20463708202762593,-0.215728074413101,-0.16979882500171273,-0.04502003177118466,-0.16297827470456264,-0.10679190028535518,-0.7242690901310653,-0.9026685220387308,-0.049700685150817096
ACH-000455,1.4798674899,0.9818435061,0.6187056012,1.8279821719,0.9455692337,1.2519535184,1.543888966,0.9413296873,1.2654822902,0.7159789115,0.9592069387,-0.381608303707,0.131096969165,0.0759068603461,0.0934047108714,-0.0460537639424,0.0179577212144,-0.373991581302,,0.13078596865800002,-0.182767373386,0.12044893919199999,3.0422033863,3.4446528766,7.3659529049,9.4990508557,9.7738121321,9.8459649283,3.3124914081,7.0585506767,2.4205479566,5.8536093831,2.6214045534,0.05518207905011961,-0.13079511962049603,0.12253102973789805,-0.2051980098627788,-0.11053733115615905,0.005328701652177767,-0.10891215883451288,-0.04088435571976785,-0.6539809766856255,-1.3305068799760884,0.19111470804637193
ACH-002070,0.979667442,1.0203046592,1.0155462892,1.0091474591,1.042563314,0.9699995613,1.042563314,0.9735891531,0.9779062036,1.0018017244,1.0406861165,,,,,,,,,,,,7.5082579393,7.5855638673,8.5978072281,10.5330308196,10.4508341322,11.9162337306,6.7822308112,9.4500356121,3.287685398,7.7228663092,6.1711201045,-0.03405205100706532,-0.017761571377685793,0.18533886298262978,-0.5381300181796109,-0.11369928077578897,-0.008849954472361544,-0.23050482514586884,-0.0031932804109341666,-1.069168160309967,-0.2708279038488767,-0.04985544678830657
ACH-001067,1.0014670814,1.019469066,1.0004776925,1.0393589606,1.044304184,1.0759298365,1.044304184,1.0008910909,0.9972568271,0.9990148303,1.0386423811,,,,,,,,,,,,7.8956395006,6.4745758761,7.238024052,10.7702638155,10.6176683153,10.3466054177,6.7195331121,7.5016384701,4.607913361,6.22621729,8.6587466851,-0.06758149463951581,-0.09153464737660724,0.24674192232421666,-0.25415883880460993,-0.3129059869172882,0.010298248207316929,-0.018139984860063546,0.0491865012779942,-0.3011173771482769,-0.6265742570317894,0.09618551176634083
ACH-000595,0.8001215012,0.5842938462,1.2715859667,1.81945075,1.2576260444,1.3615151162,0.7846395707,0.7569962193,1.017902938,1.161090962,0.9821886117,-0.16209455089400002,0.23139663527100002,0.162182305306,-0.281141315642,-0.18586037961399998,0.327108797766,-0.206230106948,,-0.0859924663135,-0.16126946634199998,-0.0006399765776809999,7.2897462738,5.6988776612,7.6291539546,10.6275054504,10.8815631252,11.4970733147,7.3532094494,8.4369150374,7.5677510972,5.4136794696,1.5619038952,0.03842990101596059,-0.02017182012689645,0.13690332771050545,-0.29387088794337574,-0.18552524368049295,0.12375021548260048,-0.1244124379846116,0.04153162204475246,0.03412637179418487,-0.4929570598102515,0.019705709696463375
ACH-000887,0.9245440732,1.0126474557,0.8097733112,1.3906159094,1.0706752812,1.1850287001,1.1214684236,0.7768720969,1.1166166704,1.1003442873,0.8365333719,-0.33142371996500003,0.00577873342591,0.027515178351599997,0.113992035104,-0.105942801247,-0.107311605012,-0.05787215810100001,,0.0837434966134,-0.0683270256895,0.171085832724,6.1171666832,0.8930487817,7.0901575366,10.3148163837,9.8424638517,11.0153879127,6.3991612909,6.7168985229,3.8171315452,8.7258702182,3.7498027134,0.10455040083688318,-0.00037433588933662046,0.19612572163847464,-0.43771046628525634,-0.07177141718532545,-0.07793207001685497,-0.27771426047071746,-0.04358560036496273,0.0817492814827604,0.007889648681634331,0.12197088361571987
ACH-001020,0.9893829891,1.0002433243,0.9871758457,0.9995862767,0.997350841,1.0041898166,1.0011630837,0.9933568606,0.9998523705,0.9954708667,0.9951576524,-0.262178072856,-0.184206528831,0.12844664546700002,0.279733048707,-0.156699704423,-0.012818302321600002,-0.389404454232,0.05222804521319999,0.125273800883,-0.0171787108244,0.04957042132950001,5.9706063919,5.7567359691,7.3026867332,10.8355079842,10.4223362187,10.7132426269,6.8508674089,6.8855915447,0.1972730395,7.9072638482,5.9445786874,-0.23024646391157044,0.12041992965562723,0.06265029573786146,-0.6287147622453347,-0.34911049876914557,-0.06655303539307554,-0.5325489798533297,-0.12831285555817623,0.1009907153461832,-1.503211777063738,-0.268196494921517
ACH-000211,1.0766378124,1.6872070166,0.9300621304,1.3143094558,0.9105353919,1.0700008925,0.9419680291,1.1236657892,1.5728673455,0.9390188343,1.3051268189,0.029994459783999998,-0.0716788400349,,,0.00441477578067,0.0876853687377,,,,0.123418229312,0.408424132717,6.2086398347,7.2446107826,7.9552820852,10.7026030259,10.2368490931,10.4390526159,7.049382359,8.5746844088,4.9888971987,7.9148715088,5.9363372899,0.06405900036226392,-0.02727542624131287,0.1559261747836884,-0.39704373809983484,-0.2514653340249451,0.05327546779208906,-0.24468517349813457,0.1258429082455063,0.3603635873740888,-0.4205824851732852,-0.02625268379631565
