depmap_id,cell_line_display_name,lineage_1,lineage_2,lineage_3,lineage_6,lineage_4,RHOA,RAC1,ACTN4,CLDN7,EZR,LGALS1,FLT4,NOTCH3,MYH9,EGFR,ALDH2,VIM,FSCN1,NF1,CFL1,ECM1,TAGLN,CDC42,YAP1,IDH2,CDKN2A,BCAR3,PGR,PTEN,SMAD4,BRCA2,SOX2,TP53,CDH1,MMP9,CEACAM5,BMI1,MTDH,MMP2,VEGFC,ERBB2,MKI67,PFN1,GSN,S100A4,ESR1,CD44,CLDN1,POU5F1,OLIG2,CD24,ANXA2,VEGFD,MMP1,STAT3,ANXA6,IDH1,LGR5,EPCAM,BRCA1,PROM1
ACH-002680,170MGBA,CNS/Brain,Diffuse Glioma,Glioblastoma,,,0.6481982362,1.7228570472,0.9162314564,1.2911825623,0.9649593008,0.657906285,1.1476088509,0.8154260773,1.2244806706,51.6109041605,0.9859483661,0.659909458,1.7228570472,0.6139286916,0.7386040098,1.0660307103,0.7948998441,0.9581098635,0.7948998441,1.0643723958,1.3e-09,1.1894552539,0.7948998441,0.6635306437,1.3236245908,0.7964076587,1.3327701554,1.2911825623,1.1321844389,1.0004825468,0.9162314564,0.6543366569,1.171445633,1.1321844389,1.3513290358,0.64549821,0.6851871498,1.2911825623,1.2918790442,1.0660307103,0.9649593008,0.9756279537,0.961045073,0.9410341603,0.9178237219,1.0211211191,1.0101083129,0.6872505207,0.7948998441,0.64549821,1.1476088509,1.0975913371,0.9908928738,1.0180744027,0.64549821,0.6944015148
ACH-002400,21MT1,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,0.7224231351,1.7675095377,0.9781827985,1.3878060874,1.0890475905,0.8026411347,1.0213249822,1.0092355984,0.8026411347,1.0686533891,1.0684356355,1.0547068021,1.7675095377,1.0658208788,1.1105212505,1.0839979287,0.4934958987,0.6454284154,0.8028063872,0.7095238081,0.7461176283,0.7149330243,0.8028063872,0.7689650856,0.5843460938,1.0287083354,1.3421863592,1.3878060874,1.0659043631,1.112184395,0.9781827985,1.0547068021,1.0747476829,1.0659043631,0.7347411593,15.7086250028,0.7689650856,1.3878060874,1.0869955242,1.0839979287,1.0455644541,0.7408369698,1.0061608778,1.0458311888,1.011129653,1.4316531403,1.0579922064,0.6173480543,1.1834903971,0.7504568361,1.0213249822,0.8167101146,1.0601056127,0.9883082577,0.7504568361,0.6927967177
ACH-002401,21MT2,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,0.7551274147,1.5369955627,0.8258146973,1.0997152392,1.0708541508,0.7712508076,1.0829285055,0.9925935603,0.7712508076,1.2192589132,1.4644520943,0.9293629264,1.5369955627,1.2502763408,1.4212467007,0.7508351001,0.3850508803,0.7690535696,1.619977752,1.1164920667,0.7555562129,0.7559129447,1.884856904,0.7594584805,0.6764180204,0.7362277326,1.1527990087,1.0997152392,1.0062829333,1.1611344224,0.8258146973,0.9147218384,1.1292985982,1.0822816567,0.7486586611,14.7023513611,0.7594584805,1.0997152392,1.1261242385,0.7508351001,1.084024227,0.7654568722,1.2916086429,0.9334431079,0.8441820158,1.4524122466,1.1112442854,0.3892640452,1.7492239418,0.741905839,1.114946898,1.0965571471,1.0931739603,1.103087321,0.741905839,0.569335514
ACH-002399,21NT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,HER2+,,0.8540325726,2.0537420635,0.7908576796,1.120615226,1.3354222659,0.9043743626,0.9059334634,0.9909794187,0.9043743626,1.605183746,1.3175420437,0.8758756701,2.0537420635,1.1086530895,1.4589910164,1.1972869833,0.4453705288,0.9117884252,2.1670853881,1.4564902057,0.9025726704,0.9245427915,2.5838279354,1.0276247618,0.7204733641,0.8724788112,1.3015646738,1.120615226,1.6178041871,0.6621041141,0.7908576796,0.8659892373,1.1305658308,2.8631395712,0.9079388249,13.3477715991,0.924253816,1.120615226,1.2110269744,1.1972869833,1.3354222659,0.9389088423,1.3015646738,0.9422213971,0.8917028912,1.6498993301,0.941840065,1.4048917774,2.4469218072,0.8150265715,0.9059334634,1.0427873595,0.9049274262,1.8974528021,0.8150265715,0.9377472291
ACH-001999,9505BIK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,,,1.0081826276,1.3330759702,1.497963011,0.6678222195,0.6764433391,0.9588951646,1.009355928,0.9793809232,0.9588951646,1.3330759702,1.3019328136,1.3031814742,1.3330759702,0.9226849308,1.3169777757,1.007608362,1.3169777757,1.007608362,1.3169777757,0.9941173024,1.3085209294,1.007608362,1.3169777757,1.3031814742,0.6370126821,0.9762645161,1.0098968886,0.6678222195,1.2386898476,1.3125078032,1.497963011,1.3031814742,1.304620316,1.2386898476,1.0020142321,0.9226849308,1.3031814742,0.6678222195,0.681239503,1.007608362,0.5539758539,1.3169777757,1.0098968886,0.6740520943,0.6523400004,0.6640629897,0.9941173024,0.309687917,1.3169777757,0.9226849308,1.009355928,0.994650096,1.3019328136,0.9825821937,0.9226849308,0.9784682885
ACH-000283,A1207,CNS/Brain,Diffuse Glioma,Glioblastoma,,,0.9876398817,1.4175552833,1.0430288044,1.0118672284,0.8038532195,0.6732834932,1.0448037644,1.0323641871,0.716862336,1.6856090908,0.7877757978,0.7967417055,1.4175552833,1.2624917847,1.0452043253,0.7322184341,0.9947659284,0.9918569714,1.2094339646,1.4148420475,0.0012010246,1.1949680125,1.2094339646,0.7756953186,0.8052736323,0.7848794544,1.1667795454,1.0118672284,0.6915483371,1.4536792722,1.0272070434,0.7699982115,0.8041781261,0.7442473063,0.812273791,1.2301327392,0.7735545837,1.0118672284,1.0151345777,0.9919848552,0.8038532195,1.1845835853,1.1375421474,0.6767247225,1.1571781601,0.7174494047,1.4455494881,0.7866637446,1.2094339646,1.2301327392,1.1443489144,1.1696646827,1.172721955,1.0940889236,1.2301327392,0.8636980874
ACH-000248,AU565,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,HER2+,,0.8739350687,2.1563868247,0.9384631487,0.9087774865,1.1750246318,0.9296013055,1.2345899907,0.948126853,0.9272671815,2.1558682285,1.2912604279,0.8205823337,1.9491295725,0.58185033,1.230159172,1.6431850945,1.230159172,0.9101435414,1.230159172,0.8961741389,0.9098716799,1.3087839851,1.230159172,0.5203553213,0.6334075636,0.8967576173,1.3755942591,0.9087774865,0.0907797406,2.2592062737,0.8506101646,0.8417851708,1.0339876829,1.2754726823,0.9767945121,9.6741975611,0.9506294491,0.9087774865,0.8138760501,1.6431850945,1.1750246318,1.1999031803,1.5616379306,0.8668834828,1.1245423549,0.8801796978,0.885177693,1.218184793,1.230159172,2.3339311455,1.7573541998,0.9217510118,1.1780207896,1.1995896667,0.5839901739,0.8179683916
ACH-002921,BCK4,Breast,Invasive Breast Carcinoma,Breast Invasive Lobular Carcinoma,,,0.9932735504,1.0618544299,0.9953439134,1.3662286963,1.0569154719,0.998242339,1.0566092903,0.9973722718,0.998242339,1.0618544299,1.0517443005,1.0471208821,1.0618544299,1.3217735212,1.6144793631,1.4859751605,0.5322714168,0.4893467422,0.5322714168,1.0106223565,1.0737059914,0.5238000128,0.5322714168,1.0652580841,1.0882137782,1.0517960617,1.0502341405,1.3662286963,0.5297328935,1.0364014938,0.9953439134,1.0402101353,1.0697331838,0.5297328935,1.0685141402,1.3375946665,1.0735206925,1.3662286963,0.9826966208,1.4859751605,1.0569154719,1.0756151643,1.0502341405,0.9946301024,0.993416077,1.0569154719,1.0106223565,1.0832303004,0.5322714168,1.3375946665,1.0566092903,1.0528807172,1.0517443005,1.0321495353,1.3375946665,1.0913924737
ACH-001016,BECKER,CNS/Brain,Diffuse Glioma,Astrocytoma,,,0.7251045843,1.3982341729,0.9753487009,0.9806022656,1.0428466312,1.0278010278,1.0486054869,1.2988087418,1.0278010278,1.3806723581,0.8277069635,0.7172201869,1.3982341729,1.2626116781,1.0997968046,1.0160201399,0.7744049073,1.0386049454,0.7744049073,0.9962384512,0.7013891411,0.735868049,0.7744049073,0.7148225243,1.0753415788,0.7602843503,1.3764602998,0.9806022656,1.1978041202,1.3945841596,0.9753487009,0.7172201869,1.1699460468,1.1978041202,0.726700095,0.5998867203,0.7148225243,0.9806022656,1.1764181927,1.0160201399,1.0428466312,0.7666154612,0.6606998856,0.774535355,0.7105957671,1.0428466312,0.9962384512,0.6494615403,0.7744049073,0.3636705484,1.0486054869,1.0634284731,0.815284787,1.0542850608,0.3636705484,0.7149473955
ACH-000160,BT12,CNS/Brain,Embryonal Tumor,Atypical Teratoid/Rhabdoid Tumor,,,1.0071579812,0.9963641374,0.9805349775,0.9733266755,1.0125379631,0.9858390269,1.5165867251,0.9805349775,0.9858390269,1.013563165,0.9868953397,1.0238156751,0.9963641374,0.9733266755,1.0046973663,1.0085901214,1.0046973663,1.0085901214,1.0046973663,1.0013102126,0.1628331114,1.0085901214,1.0046973663,1.0077885707,1.000986835,1.0086271744,1.0071579812,0.9733266755,0.995234912,1.015547697,0.9805349775,1.0238156751,1.0061859851,0.995234912,1.0104206297,0.9733266755,1.0077885707,0.9733266755,0.9803181915,1.0085901214,1.0125379631,1.0137922217,1.0071579812,1.0120257511,0.9992849279,1.0125379631,1.0013102126,0.9858417603,1.0046973663,0.9733266755,1.5165867251,1.0946828843,0.9868953397,1.0946828843,0.9733266755,1.0104206297
