,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-001828,0.9949969442,1.0342091686,1.0013227057,1.0485487951,1.0084034786,1.0233701088,1.0710345351,0.9839780239,0.9919552892,1.0100270983,1.0439365296,,,,,,,,,,,,3.0724611437,8.1732327792,5.2153072306,10.8169134937,8.8904922837,6.1909892822,5.538050706,6.3279836182,1.1647338632,5.1346085104,3.95657633,,,,,,,,,,,
ACH-002463,0.9892088143,1.0305553553,1.4692653797,1.0421912158,1.0015330292,0.9952618163,1.0551418768,0.9842413272,0.9800484652,1.000347327,1.0297977335,,,,,,,,,,,,6.5959227033,8.1198821141,9.2616460952,11.0915600401,11.1289459341,12.1819096179,7.402719539,10.4577519275,5.5230172239,7.5051948204,11.4527033017,-0.20797123040893056,0.08779269315581797,0.23210747090745837,0.053101682959990626,-0.12296546898949469,-0.03747234099772232,-0.05098187842409252,-0.06719449697321887,-0.14919779799779442,-0.727576754614579,0.042849874864320604
ACH-002465,0.9864952435,1.0199143478,0.988221946,1.0297270696,1.0301011438,1.0045337249,1.0301011438,0.9761643704,0.9772658612,0.9930959372,1.01974328,,,,,,,,,,,,5.8591798395,8.0003252205,8.9584756988,10.6511881405,10.6880067433,12.0569557307,6.893881376,9.1350900626,5.7230082167,7.5827091848,9.1035673573,-0.15479931558582957,0.14510524723273488,0.13101048252887892,-0.33127378628204734,-0.09225506893361847,-0.03942512217646054,-0.38640013754138924,-0.1381686692241908,-0.9430059775214188,-0.6353795113242102,-0.31385098512597687
ACH-001422,0.996464974,0.9857235507,0.506715196,1.0497785321,1.5028635207,1.068552654,1.5462440032,0.9829261963,1.5083926231,1.0196167649,1.5915715328,,,,,,,,,,,,9.4328677978,0.774196442,7.2778025314,9.5317095475,9.9224721968,11.0691581378,6.1714890352,6.3646214626,6.6160690608,8.0308868914,2.4151644914,0.03667101153637963,0.01249452584751385,0.12523012743102196,-0.5585634737309905,-0.37667124619433534,0.013851271269140939,-0.07896667754208252,-0.07252208370186261,-0.29537342721099236,-0.10331221125362366,-0.09301400427211226
ACH-001649,0.9976156482,0.5262291235,0.9971932345,1.0490322276,1.953575483,1.0495573495,0.5262356891,1.0252260204,1.0268717435,1.0442853639,1.0140269531,,,,,,,,,,,,6.3319471595,3.5256257716,8.1576969125,9.4345260837,10.1108134297,10.9865050192,6.1525187178,7.6303295627,3.8230560461,6.4743424022,5.1381315652,0.060305700671750326,0.032293086551228666,0.1255377937505207,-0.4475255326790847,-0.6742847211839225,0.003695612083858168,-0.1360964943554779,-0.3371266573892371,-0.5172057374631124,-0.6530555827759846,0.13839604051897672
ACH-002464,0.9714697645,1.0223739627,0.9782248369,1.497110802,0.9898432599,1.0039942453,1.0420077444,0.9631670878,0.9682342274,0.9887858481,1.0203478007,,,,,,,,,,,,6.2721837274,7.7464969575,9.2031737355,10.9844313499,10.7576914159,12.0489611876,7.571417131,9.1858493613,6.1610592929,7.8013211828,8.7352834369,0.2415456092327474,0.06076944510424579,0.3577732260579209,0.03934648758400294,-0.28696690435921096,-0.07206598465210992,-0.12517976633807,-0.08687259281240824,-0.16939483595130528,-0.5965045232064711,-0.10521849628821317
ACH-003308,1.0086467502,1.0610076071,0.6315102257,1.0542397537,1.0587023219,1.0609127403,1.0587023219,1.0232268309,1.075308783,1.0468110076,1.0791639049,,,,,,,,,,,,5.0075337326,7.2946994714,7.419559948,10.936250415,10.6147840662,10.6716629703,5.418930258,7.9468832272,5.390456954,7.7913542877,6.4715123202,,,,,,,,,,,
ACH-000494,0.9790598774,1.0491129425,0.9416794816,1.0071537926,0.9691205229,1.032744946,0.9691205229,0.9966300643,1.0401899469,1.01807158,1.0586238043,-0.38941887490099997,-0.20232971452799997,0.241274450874,0.151995861784,0.0876213395191,-0.157463709912,-0.26421464989599996,,-0.30667716863600003,-0.12746421134400002,0.387689545096,5.8314879177,6.8483145621,7.4020757191,10.2530958215,10.0128286121,10.76062059,6.1348181746,7.7023165506,5.0105817035,7.2537220906,6.5730263898,,,,,,,,,,,
ACH-001627,1.0104780617,1.0303117988,0.9978058273,2.562986714,1.0482806407,1.0407178563,1.0482806407,1.0058240815,1.0162835641,1.0234665844,1.03262827,,,,,,,,,,,,4.4167005858,1.9614953905,6.7491083223,9.7681255578,9.2133257318,10.1207930336,7.5748669946,6.6578605879,1.9961133842,6.7930843118,2.7205310835,0.05278276770630059,-0.053105385630712605,0.17648163529859867,-1.357612231623204,-0.2608290303195202,0.008921995082787048,-0.09108202564443424,-0.04717070754642768,-0.10652490610330806,-0.5614962132877589,0.009624490583458212
ACH-002375,0.9837284284,1.0922650618,0.9909416402,1.0075713464,0.9926197052,0.9921134431,0.9926197052,1.003398718,0.9932935167,0.9759742571,0.9924325783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000133,1.007250834,1.0817589072,0.7125351053,1.0972954288,1.0959386201,1.6302373217,0.8502871262,1.3131211254,1.244985552,1.2981283193,0.9871101591,-0.12519264772299998,0.247419609879,,,0.178356323535,0.14447342975,,,,-0.0297172523325,0.387195794262,6.4442194709,6.6705140812,8.1248911293,11.4584705994,10.5430061943,11.2972520099,7.2032505096,8.4674522068,7.7851837083,7.6214115208,7.6476784706,-0.18081376571206978,-0.053365967684053085,0.20570019721150223,-0.4677478037462699,-0.22004438456457182,0.07279077260852816,0.0054242142469527466,-0.09404569236731636,-0.37903574435792564,-0.7447518812138844,-0.05622949600877259
ACH-002354,1.020770117,1.0705060877,1.0040728868,1.0011852904,0.9935427844,0.9957897014,0.9935427844,0.9955088179,0.9886933269,0.9657401748,0.9849893289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-001383,0.8918061167,1.0506790225,1.322985271,0.8886634145,0.8379162742,1.2444558084,0.8379162742,1.5065870148,1.1287601807,1.3061286452,1.644118175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002384,1.0148700444,1.0696012081,0.9997692086,1.0077145276,0.9964898394,0.9979061182,0.9964898394,0.9914177544,0.9922943196,0.9671241461,0.9938355129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002361,1.0132007148,1.0630415595,0.995096263,1.0054553387,0.9972409286,0.9920536167,0.9972409286,0.993558624,1.0176800066,1.4386014866,0.9990896193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000165,1.0174528925,0.9991477923,1.007463101,1.0050700111,1.0110932089,1.0118349657,0.9992191282,1.0069897511,1.0060723097,1.006642211,1.0048324776,,,,,,,,,,,,7.9237416382,8.708050336,8.9039719763,10.8696615507,10.4241536915,11.6174208561,6.6660940159,9.7334558677,7.2930654212,6.7438045078,12.2008293594,,,,,,,,,,,
ACH-000154,1.0098261903,1.0003930917,0.9937039466,1.0092432935,1.0128594559,1.0121590416,1.0041236939,1.0075448077,1.0049279022,1.0040652312,1.0048178513,,,,,,,,,,,,7.5244959194,8.5115512662,8.2968851739,11.2319412194,10.5773166595,11.6649083481,7.2331757482,9.1684402867,7.0893924862,6.6368314181,9.5830165424,,,,,,,,,,,
ACH-002353,0.9894858627,1.0102455523,1.0004922556,0.9999861372,0.9942888956,0.9956875527,0.9942888956,0.9962785033,0.9768899826,0.9979891251,0.9890812884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002352,1.0193107905,1.0713894537,1.0041793759,1.0019204731,0.9981786835,1.0002551107,0.9981786835,0.997777471,0.997596978,0.969304598,0.9881103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000340,1.0393906599,1.0029585612,1.0835674791,1.0035858258,1.0044418188,1.0046235503,1.0005491233,1.0042684735,1.0031692283,0.9984277931,0.9926004405,,,,,,,,,,,,6.9378562231,8.609633183,7.699502184,11.1306210476,10.8213205495,12.2601084399,6.8756742149,8.0572219586,5.2089086287,6.024738933,11.6916961032,,,,,,,,,,,
ACH-001310,1.0171532076,1.0257022547,1.0293959417,1.0036755664,1.048771946,1.0530821616,1.0207453533,1.0563749528,1.375070893,1.019651396,1.0260208155,,,,,,,,,,,,6.8715589434,7.6361457314,9.4929652736,11.6316607293,10.8051755263,11.7801929102,7.5787257748,9.9179032046,6.2538156958,8.251821733,10.4015715144,-0.18945487369204492,-0.022496767735485496,-0.24033573085300394,-0.4177313814378291,-0.2557541603164285,-0.04217732037040845,-0.30835474665115997,-0.11931732480254387,0.47667618982207716,-0.8882705533508138,-0.09182595350185357
ACH-002376,1.001382397,1.0035120914,1.0015094263,0.9993458831,0.9995855839,1.0001809278,0.9995855839,1.0007454109,1.0052832121,0.9996597226,1.0023476684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002336,0.9502262718,1.4414961664,1.4898457808,1.2808282203,1.2596692705,0.9773749269,0.6394422607,0.9962764316,0.6356202532,0.8607439258,1.2978368188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002364,1.0007898064,1.0059196002,0.9988784242,1.0014886007,0.9982492583,0.9988486527,0.9982492583,0.9997851475,1.00180103,0.9942888956,0.9987621128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000083,1.0114521008,0.9897211404,1.0010770372,0.9988389599,1.0042691696,1.0054044642,0.9928977089,1.0258956548,0.9968000183,0.9993819038,1.0041501425,,,,,,,,,,,,8.0895911602,9.0217457428,9.1840436838,11.4360251608,11.0211793742,12.1037910539,7.6800066242,9.5937887098,7.7649328736,6.2908443383,12.0285382121,,,,,,,,,,,
ACH-002343,1.0209335727,1.059531882,1.0127934643,1.0014254324,0.9958794352,0.9965886164,0.9958794352,1.0045810737,1.0245788385,0.9734805098,0.9979192605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000135,1.0088509199,0.9136889419,0.9861540931,0.9957758969,1.0347813805,0.9958255939,1.0347813805,0.9923885535,0.9868125714,0.9916686135,1.0460356348,,,,,,,,,,,,8.310781422,8.9806217693,8.9501838593,10.7928872578,10.6333746982,11.4368307352,6.6189469301,9.2314580238,6.8932131152,6.198232463,11.906856877,,,,,,,,,,,
ACH-000119,1.0104927704,0.9909141659,1.0030315596,0.9958400894,1.0069729994,0.9996708093,0.9947286951,1.0025130383,0.9952190457,1.0003223654,0.9989088889,,,,,,,,,,,,7.8753989873,8.9148312945,7.8005999416,11.1817766964,10.766775039,12.0004315993,7.1772174147,8.3377099206,7.7377417654,5.4700870238,11.3436669197,,,,,,,,,,,
ACH-002380,0.9995876625,1.0002689773,0.9998121748,1.0002530307,0.9999577189,0.9999958411,0.9999577189,0.9993784402,1.000022181,0.9992849279,1.0002481775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-001453,0.9817278174,1.1599647788,0.8049365663,0.9716239788,1.1344845801,0.979007624,1.2458928516,1.0764840921,1.2334403948,1.1725569542,1.0628971478,,,,,,,,,,,,5.5262670431,1.5018747126,7.3740996825,10.0299285286,9.5918876072,10.765323311,5.9774140314,7.1937296624,4.1840809131,8.0833287936,4.157604851,0.12512115229529253,0.011450431394564087,0.05018254255795496,-0.475199950791557,-0.3632396559946729,-0.07082762389053589,-0.30292123227871803,0.17164534473091334,-0.557308098355111,-1.0544836948205218,-0.12608059345464617
ACH-002383,1.0142765026,0.9815842462,0.9797957915,1.0102259456,0.9880486604,0.9958587267,0.9880486604,1.0279143084,1.0054330372,0.9680724989,0.9882863365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002466,0.990322965,0.9499509974,1.4292546658,0.9641182431,0.9659503893,0.9662845504,0.9659503893,0.9520471964,1.4205887841,0.9698422436,0.9667280448,,,,,,,,,,,,6.1925673574,7.9419170868,9.192036946,11.0219512081,10.9453639978,11.8603647828,6.119555554,10.1354555794,4.9011622394,7.6627491682,10.4060241454,,,,,,,,,,,
ACH-002347,0.9997304021,1.0003230588,0.9977684802,1.0003993325,0.9999119742,0.9999882166,0.9999119742,0.9995218428,0.9986631204,0.9958483726,0.9998648454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002373,0.9958138597,1.0691097787,0.9837775241,1.0095819345,1.0408758485,0.9906092517,1.0408758485,0.9948093691,0.9892252705,0.9621561796,0.985851327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000531,1.0374163411,1.0037618363,0.9152552188,1.0092614821,1.0130497322,1.013328541,1.0090998951,1.016546352,1.005486701,0.9722956689,1.0071886985,,,,,,,,,,,,7.8915197869,8.6168656637,8.4190896316,10.9260251701,10.4020901032,11.3864174944,6.8323045118,8.9691915984,8.0421689494,6.3277842021,12.4108596569,,,,,,,,,,,
ACH-002365,1.0011991699,0.9990487616,1.0009320239,0.9996271563,1.0035468711,0.9997705946,1.0035468711,0.9985516791,1.003305525,0.9989587423,1.0029842839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-002374,1.0122341129,1.0751671763,1.001658689,1.0104640536,0.9889277307,0.9962798844,0.9889277307,0.9918652215,0.9978265763,0.964141633,0.9911133722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000214,1.022152886,0.9915689495,1.0064377907,1.0090474373,1.0010603838,1.007627918,1.0010603838,1.0144818119,1.0046534938,1.0007766263,1.0030482458,,,,,,,,,,,,8.1317010175,8.7443225812,8.3864112185,10.9573061979,10.6204228326,10.9193756879,7.009614422,8.36977621,8.4867672808,5.3363844707,9.8414283167,,,,,,,,,,,
