,Copy Number Public 24Q4 ACTN4,Copy Number Public 24Q4 EZR,Copy Number Public 24Q4 MYH9,Copy Number Public 24Q4 FSCN1,Copy Number Public 24Q4 CFL1,Copy Number Public 24Q4 ECM1,Copy Number Public 24Q4 TAGLN,Copy Number Public 24Q4 PFN1,Copy Number Public 24Q4 GSN,Copy Number Public 24Q4 ANXA2,Copy Number Public 24Q4 ANXA6,"RNAi (Achilles+DRIVE+Marcotte, DEMETER2) CFL1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ECM1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) GSN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA2","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ANXA6","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) MYH9","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) PFN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) FSCN1","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) TAGLN","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) EZR","RNAi (Achilles+DRIVE+Marcotte, DEMETER2) ACTN4",Batch corrected Expression Public 24Q4 GSN,Batch corrected Expression Public 24Q4 ANXA6,Batch corrected Expression Public 24Q4 ACTN4,Batch corrected Expression Public 24Q4 PFN1,Batch corrected Expression Public 24Q4 CFL1,Batch corrected Expression Public 24Q4 ANXA2,Batch corrected Expression Public 24Q4 FSCN1,Batch corrected Expression Public 24Q4 MYH9,Batch corrected Expression Public 24Q4 ECM1,Batch corrected Expression Public 24Q4 EZR,Batch corrected Expression Public 24Q4 TAGLN,"CRISPR (DepMap Public 24Q4+Score, Chronos) ACTN4","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA2","CRISPR (DepMap Public 24Q4+Score, Chronos) ANXA6","CRISPR (DepMap Public 24Q4+Score, Chronos) CFL1","CRISPR (DepMap Public 24Q4+Score, Chronos) ECM1","CRISPR (DepMap Public 24Q4+Score, Chronos) EZR","CRISPR (DepMap Public 24Q4+Score, Chronos) FSCN1","CRISPR (DepMap Public 24Q4+Score, Chronos) GSN","CRISPR (DepMap Public 24Q4+Score, Chronos) MYH9","CRISPR (DepMap Public 24Q4+Score, Chronos) PFN1","CRISPR (DepMap Public 24Q4+Score, Chronos) TAGLN"
ACH-000243,1.0074184095,1.0473807539,1.0183835354,1.6880129827,1.4989414174,0.8413657525,1.3862361054,0.6539521582,1.3074311723,0.7369731684,0.8072939584,-1.04612710808,-0.0808880578814,,,-0.323203748836,-0.304928085915,,,,-0.132570913586,-0.04661377082280001,7.6361917762,7.1638530084,7.8978155002,10.4408445594,10.4615182367,10.0128730222,9.2171062955,7.9953049708,3.422028007,7.3237711459,1.2071599994,-0.040299918889268725,0.03710488898205363,0.19439921751725106,-1.552852516048718,-0.1473433622736422,-0.04770497458645124,-0.14400088417576096,-0.04530103283120623,-0.5525020602756756,-0.898769409510171,-0.0039909610534762455
ACH-000265,0.763614816,0.9538550812,0.7200894324,1.0860601447,1.2477189481,1.044881257,1.1524946072,1.0371158083,1.1610531367,1.1197678997,1.2247412631,0.0160838436141,-0.21598577815099998,0.239586319418,0.144462818286,-0.10506479893699999,-0.17381327716800002,-0.6214995898910001,,0.142494322024,-0.187917362896,0.0925963470114,8.3931095017,5.1343645604,6.4819819537,10.8093186746,9.8373440405,10.076304923,6.1920835728,6.2083587099,1.0979847176,6.2516962006,2.2344382604,-0.04640773503537224,0.10601243589221199,0.09401070526886797,-1.0867548843727968,-0.07286919581749743,-0.13693564431516556,-0.19226119920438023,0.020356952903307735,-0.29369874046417577,-1.2295857029203971,-0.062171559448764055
ACH-000023,2.1797202677,1.0533164987,0.7022346066,1.3436673349,1.4089935428,1.031781869,1.4089935428,0.698548408,1.0663374046,0.6943249887,1.0492511177,-0.38823261599799996,,,,0.05660831307630001,,,,,,0.15149316112800001,2.7389840692,5.5900670792,8.6075291649,10.1165251999,10.4720790498,9.812889213,5.6975627629,6.1443390207,0.7767092127,7.6712565637,4.698524553,0.09317415675404768,-0.031593661795840035,0.13754290180809836,-1.1775904745406636,-0.1407687810673724,-0.0788794124468936,0.05697401869864041,0.09857660339722009,0.3533250002672087,-0.35815916841542356,-0.08994915838571617
ACH-000222,0.8401763027,0.8625290783,0.8422439119,1.7286586321,1.2480130327,1.1706607073,1.2553990306,0.8193274185,0.8248593238,0.8296984522,1.2646779065,-0.448463235213,-0.057345889428,0.000602736846906,-0.028218702921700003,0.19695389330200003,-0.242419113116,-0.20509679028499997,,-0.0472676402508,0.137982996834,-0.008661047585959999,7.7628428319,0.3275354696,7.4747511381,9.6240758496,9.9878655329,11.0161094174,6.2908348237,7.0015701555,2.5028726977,8.4480902116,3.2725735596,0.1261815473453397,-0.1777197086063001,0.05941577891831898,-0.4326969968502872,-0.0270409408617438,-0.08790458133447988,-0.27622066614061425,0.05962469393596553,-0.4572625500361587,-2.140364055467791,-0.018181836104927823
ACH-000652,0.7762982821,0.8255439912,0.792827,1.1073651312,1.5622312231,1.0966171947,1.6420624546,0.7757394089,1.037396207,1.0592638557,1.1230981395,-0.45709878727,-0.00669084668132,,,0.0719094307905,-0.145956723285,,,,0.00979332020456,0.008792639676129999,6.5182524027,4.8625524349,8.091592817,10.1134579559,10.4186664531,12.027703447,5.8037053742,7.0975350419,1.3311850258,7.1001903958,2.0042943069,-0.12992203649458967,-0.14393710238060256,0.1534908204837698,-0.9909832139111456,-0.17514889212743134,0.010993238316773934,-0.4237534558098529,0.1239272472843193,-0.8484293563792197,-0.9178353170096553,-0.07523309138290586
ACH-000270,1.4457679359,0.7473966488,1.2167122383,1.1267879183,1.1152290138,1.1043083008,1.1381273531,0.7168593547,1.0601379448,0.9433434341,1.116933273,-0.105563501817,-0.155214612425,0.0128942225127,0.06863384918109999,-0.0952772072452,-0.372548299239,-0.39371725825599996,,-0.15214942839099999,-0.09204385609380002,0.09563456061589999,5.3546883352,0.2258161523,7.1311022436,8.6445317201,8.458131049,10.2576286615,4.6871228587,6.1432008789,7.5230394053,8.7955079945,2.1894990719,,,,,,,,,,,
ACH-000281,0.8637854976,0.5512524241,1.0510505085,1.7881292233,1.2296212477,1.2217744704,1.2968350602,0.6762328471,1.1639789758,0.6988225172,1.1417731173,-0.678456722023,0.169362200411,0.476148103978,0.12799847609,-0.10419480010299999,-0.359821634858,-0.213467944859,,-0.231095949693,0.240852618057,0.8880262278030001,6.9552049902,0.8475660892,7.1900947406,9.4133227943,9.3873745737,10.9427587873,3.137033991,6.4952037215,2.7866507245,6.9144170024,2.1606960584,0.13416303041576055,0.19653340391749818,-0.05824201747729685,-0.1086250081697962,-0.4286048173038253,0.02795208459140227,-0.22970984422894186,0.1306715836596523,-0.15045208877156796,-0.3799142061248521,0.21925559580120477
ACH-000517,1.6044813275,0.7985701217,0.3728540713,2.6307077758,0.768787615,1.1617945764,0.7848223326,0.7408652134,1.1443409824,0.7975445424,1.9353184816,,,,,-0.241378819978,,,,,,,5.9051922262,6.8814476277,8.805082619,9.3711760487,9.1524597558,11.1586211174,6.7668847851,6.5716984733,2.9666070057,7.1447453126,1.4467162388,0.06342688294035045,0.004159395251326791,0.21594753577816805,-1.650936872593047,-0.1274895383273006,0.0067702321900392545,-0.21343063569853346,-0.071303404169974,-1.819205201154806,-0.6173047559271907,-0.10559205169113578
ACH-002039,0.9477588972,1.1109108147,0.781127523,1.1414502649,1.3100673663,1.037750049,1.3006195368,0.8567789854,1.0633879327,1.0737655319,1.1085478155,,,,,,,,,,,,4.1160387875,0.8354295314,7.9392078503,10.2079825068,9.9508030673,10.4179753777,6.3922267055,6.9693327378,0.6396396943,8.0411026987,2.6455191294,0.035114244189917675,0.03138006007437489,-0.05986180421773937,-0.49488460406777784,-0.36830727612767356,0.015206890031674908,-0.09784045583994663,0.010441629462920222,-1.0104942486456383,-1.0435565678937133,-0.1008329786452391
ACH-000118,0.5276645619,0.5577556005,0.5277439354,1.1755810431,1.0785656553,1.109377984,0.5508792397,0.5253544411,1.1026492911,1.0852549478,1.1629289847,-0.20561056779,0.172145327348,0.0842313434907,0.0116219314098,-0.148895525084,-0.601805902222,-0.141478971704,0.0579396663454,-0.021233701980699998,-0.00407805785551,0.115898455069,5.7594076452,3.5235427858,6.9219994194,9.6565110273,9.9211819927,10.9053678995,5.2622901239,5.8719541236,1.0905479862,8.0658692216,1.3402846341,-0.029845332916274912,-0.01592260720569105,0.26946482089237483,-0.6000501043050089,-0.16162559783813424,-0.07227684076908657,-0.13597435745243233,0.031284378455887135,-0.8022462383195174,-0.28970982349073565,-0.03316529443427276
ACH-000139,0.9473221351,0.6839965721,0.6569352112,1.139829471,1.2991130672,0.9699726676,1.2991130672,0.6445097104,0.9670537609,1.1461882406,1.267043451,-0.701680026062,-0.199341139985,-0.214235615819,0.309412294611,-0.00154656508595,-0.5548568260760001,-0.22543509831099998,,-0.114907944015,-0.132553746961,0.08101616471260001,6.9065279858,6.3404132881,7.3096758516,9.6734691649,9.791835614,11.2443962567,5.8972546556,6.7639896619,0.6819650787,8.676308847,3.3559907787,0.08918529732466562,-0.21271858795964166,0.2636629646467596,-1.1185471956581137,-0.3133872164437053,-0.16592495128562168,-0.2849567134528366,-0.07918152309771444,-0.7778386444582965,-0.433647725373437,0.07851075109736574
ACH-000155,1.0308547016,0.7989233498,1.0780678654,1.2037827096,1.1207511657,1.1129856563,0.7481715437,0.6993022247,0.7367515012,0.7591895293,1.2604780541,-0.277576604528,0.19779455049800002,,,-0.125550828922,-0.429545450657,,,,-0.159273339908,0.36053171520300004,3.1150490835,6.811250271,7.7569627833,10.3715319881,10.4256566829,11.0560305081,7.1931040879,6.6533676858,1.4879436635,8.1541055079,6.975249002,0.09555819907159732,-0.13706315364806812,0.24080948799694551,-0.392408128131465,-0.1007518055857315,0.04674609646985318,-0.13092711812073074,0.17579302961552354,-0.9734563047292533,-0.47747604758644685,0.015035399300655727
ACH-000347,0.9786805952,0.763862038,0.7321423078,1.589315999,0.9713000897,1.6697764878,1.0188064512,1.2618312626,0.9844651221,1.0032937026,1.3003680368,-0.583668874601,-0.24095306676800002,0.568071614378,-0.205544508726,-0.107907204685,-0.016169103241099998,-0.624528073843,,-0.121455941229,-0.389038906023,0.301858730759,3.9683360444,1.3241723167,5.908407936,10.2650477531,9.5474906917,6.3180240197,4.9528739542,6.3841948304,0.8744738317,5.8157460027,0.8842004334,,,,,,,,,,,
ACH-000235,0.7464145426,0.7613854999,1.0751306597,1.1581892409,1.1234017847,1.2492844482,1.1055965355,0.7271676883,0.7539375853,1.0995361217,0.7823879197,-0.36537836324100004,0.0502057640338,,,-0.233626305718,-0.515319551331,,,,-0.40968591396399995,-0.36094853323,5.4176663655,5.1514559416,7.7437549938,9.971950234,10.3793843965,11.6731999149,6.4967614149,7.0130360954,3.9082130871,9.6210502193,3.5543232794,0.025066860608781313,0.07813306601399718,0.16588891996893887,-0.5125522632238491,-0.0671868452555501,-0.2393083333240384,-0.267420107680014,0.011106331758211465,-1.0556135612948814,-0.8348321162891417,0.02691327248641459
ACH-000022,1.9934038224,0.8357665942,0.6501209272,1.336936552,1.2339329476,0.9995550985,1.2339329476,0.7615628453,1.0591118819,1.3381659129,1.0677804204,,,,,,,,,,,,4.360173937,0.3599509792,7.9606338786,9.5557599413,10.1107669559,10.1959025331,1.1884825294,6.1608307622,1.2259240225,6.9466112314,2.7217760406,0.14551759764775496,0.03589357091777535,0.14945355393623772,-0.451697680106527,-0.04644352570586066,-0.1303789116358406,-0.0795565671778822,-0.0004986100705232557,-0.8910501140213127,-1.0933517903675816,0.17044908442914927
